EmployeeNumber,Age,Department,JobRole,OverTime,MonthlyIncome,Salary_Band,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,YearsAtCompany,TotalWorkingYears,Attrition_Flag,Attrition_Probability,Risk_Level
861,30,Research & Development,Research Scientist,No,3761,Mid,4,2,2,5,10,0,0.379,Medium
862,53,Sales,Sales Executive,Yes,10934,High,4,3,1,5,35,0,0.544,Medium
864,45,Sales,Sales Executive,Yes,10761,High,1,3,4,5,18,0,0.488,Medium
865,32,Research & Development,Research Scientist,No,5175,Mid,3,2,3,5,9,0,0.121,Low
867,52,Research & Development,Manufacturing Director,No,13826,High,4,3,3,9,31,0,0.076,Low
868,37,Sales,Sales Executive,No,6334,Mid,3,3,4,1,9,0,0.2,Low
869,28,Human Resources,Human Resources,No,4936,Mid,4,3,2,5,6,0,0.108,Low
872,22,Research & Development,Manufacturing Director,No,4775,Mid,4,1,4,2,4,0,0.311,Medium
874,44,Research & Development,Laboratory Technician,Yes,2818,Low,4,2,1,3,10,0,0.548,Medium
875,42,Research & Development,Research Scientist,Yes,2515,Low,4,3,2,2,8,0,0.716,High
878,36,Human Resources,Human Resources,No,2342,Low,1,3,1,5,6,0,0.362,Medium
879,25,Sales,Sales Executive,Yes,4194,Mid,1,3,3,5,5,0,0.739,High
880,35,Research & Development,Manufacturing Director,Yes,10685,High,3,3,4,17,17,0,0.145,Low
881,35,Research & Development,Research Scientist,Yes,2022,Low,2,2,4,10,10,1,0.803,High
882,32,Research & Development,Laboratory Technician,No,2314,Low,4,3,4,3,4,0,0.033,Low
885,25,Sales,Sales Executive,No,4256,Mid,1,4,3,5,5,0,0.733,High
887,49,Research & Development,Research Scientist,No,3580,Low,1,3,3,4,7,0,0.204,Low
888,24,Research & Development,Laboratory Technician,No,3162,Low,4,2,1,5,6,0,0.23,Low
889,32,Sales,Sales Executive,No,6524,Mid,2,3,2,10,10,0,0.552,Medium
893,38,Sales,Sales Representative,No,2899,Low,2,3,2,2,3,0,0.61,High
894,42,Research & Development,Laboratory Technician,Yes,5231,Mid,4,2,3,5,17,0,0.394,Medium
895,31,Research & Development,Research Scientist,Yes,2356,Low,4,3,4,6,8,0,0.202,Low
896,29,Sales,Sales Representative,Yes,2800,Low,3,3,2,3,5,1,0.739,High
897,53,Sales,Sales Executive,No,11836,High,4,3,1,2,28,0,0.18,Low
899,35,Research & Development,Manufacturing Director,No,10903,High,2,3,4,13,16,0,0.642,High
900,37,Sales,Sales Representative,No,2973,Low,4,3,3,5,10,0,0.656,High
901,53,Research & Development,Research Director,No,14275,High,4,3,4,12,33,0,0.011,Low
902,43,Research & Development,Healthcare Representative,No,5562,Mid,4,2,4,5,12,0,0.104,Low
903,47,Sales,Sales Executive,Yes,4537,Mid,4,3,3,7,8,0,0.275,Low
904,37,Sales,Sales Executive,Yes,7642,High,2,3,1,10,10,0,0.819,High
905,50,Research & Development,Manager,No,17924,High,1,3,1,31,31,0,0.33,Medium
909,39,Human Resources,Human Resources,No,5204,Mid,4,3,4,5,13,0,0.094,Low
910,33,Human Resources,Human Resources,Yes,2277,Low,2,4,4,4,7,0,0.434,Medium
911,32,Research & Development,Laboratory Technician,Yes,2795,Low,4,1,1,1,1,1,0.962,High
912,29,Research & Development,Laboratory Technician,No,2532,Low,4,3,1,4,8,0,0.196,Low
913,44,Research & Development,Research Scientist,Yes,2559,Low,1,3,2,8,8,0,0.881,High
916,28,Sales,Sales Executive,No,4908,Mid,4,3,1,4,4,0,0.501,Medium
918,58,Research & Development,Laboratory Technician,Yes,2380,Low,4,2,4,1,3,1,0.66,High
920,43,Research & Development,Manufacturing Director,No,4765,Mid,2,4,1,1,4,0,0.291,Low
922,20,Sales,Sales Representative,No,2044,Low,3,2,3,2,2,1,0.511,Medium
923,21,Research & Development,Research Scientist,No,2693,Low,4,2,4,1,1,1,0.149,Low
924,36,Research & Development,Healthcare Representative,Yes,6586,High,4,2,3,16,17,0,0.13,Low
925,47,Sales,Sales Representative,Yes,3294,Low,4,2,4,3,3,0,0.882,High
926,22,Research & Development,Manufacturing Director,Yes,4171,Mid,3,4,2,3,4,1,0.244,Low
927,41,Research & Development,Laboratory Technician,Yes,2778,Low,4,2,2,7,10,1,0.765,High
930,28,Research & Development,Research Scientist,No,2377,Low,3,3,3,2,6,0,0.106,Low
932,39,Research & Development,Laboratory Technician,Yes,2404,Low,1,1,4,2,8,1,0.903,High
933,27,Research & Development,Research Scientist,No,2318,Low,3,3,2,1,1,0,0.242,Low
934,34,Research & Development,Laboratory Technician,No,2008,Low,2,3,2,1,1,0,0.439,Medium
936,42,Sales,Sales Executive,No,6244,Mid,3,3,3,5,10,0,0.379,Medium
939,33,Research & Development,Research Scientist,Yes,2799,Low,1,3,3,3,6,0,0.833,High
940,58,Research & Development,Healthcare Representative,Yes,10552,High,2,3,3,6,24,0,0.339,Medium
941,31,Sales,Sales Representative,No,2329,Low,3,4,2,7,13,0,0.629,High
942,35,Research & Development,Healthcare Representative,Yes,4014,Mid,4,1,4,10,10,0,0.077,Low
944,49,Research & Development,Laboratory Technician,No,7403,High,2,2,1,26,29,0,0.707,High
945,48,Research & Development,Research Scientist,No,2259,Low,3,2,4,0,13,0,0.139,Low
947,31,Sales,Sales Executive,No,6932,High,3,2,4,9,9,0,0.069,Low
949,36,Research & Development,Research Scientist,No,4678,Mid,4,3,2,6,8,0,0.185,Low
950,38,Research & Development,Research Director,No,13582,High,1,3,4,15,15,0,0.006,Low
951,32,Research & Development,Laboratory Technician,No,2332,Low,2,3,3,3,5,0,0.249,Low
952,25,Sales,Sales Representative,Yes,2413,Low,2,3,3,1,1,1,0.947,High
954,40,Sales,Sales Executive,No,9705,High,2,2,1,1,11,0,0.692,High
956,26,Sales,Sales Executive,No,4294,Mid,1,3,3,7,7,0,0.423,Medium
957,41,Research & Development,Laboratory Technician,Yes,4721,Mid,1,3,4,18,20,0,0.372,Medium
958,36,Research & Development,Laboratory Technician,No,2519,Low,3,3,3,11,16,0,0.079,Low
959,19,Sales,Sales Representative,Yes,2121,Low,2,4,4,1,1,1,0.959,High
960,20,Research & Development,Laboratory Technician,No,2973,Low,1,3,1,1,1,1,0.957,High
961,31,Research & Development,Healthcare Representative,Yes,5855,Mid,4,1,4,9,10,0,0.322,Medium
964,40,Research & Development,Research Scientist,Yes,3617,Low,2,3,4,1,3,0,0.656,High
966,32,Research & Development,Manufacturing Director,No,6725,High,1,4,3,8,8,0,0.19,Low
967,36,Sales,Sales Executive,Yes,10325,High,4,3,3,16,16,1,0.372,Medium
969,33,Research & Development,Healthcare Representative,No,6949,High,4,3,2,5,6,0,0.196,Low
970,37,Sales,Sales Executive,No,10609,High,3,1,1,14,17,1,0.915,High
972,45,Research & Development,Laboratory Technician,No,4447,Mid,2,2,3,9,9,0,0.041,Low
974,29,Sales,Sales Representative,No,2157,Low,4,3,3,3,3,0,0.796,High
975,35,Sales,Sales Executive,No,4601,Mid,3,3,3,5,5,0,0.29,Low
976,52,Research & Development,Manager,No,17099,High,4,2,4,9,26,0,0.01,Low
977,58,Research & Development,Research Scientist,No,2479,Low,3,3,4,1,7,1,0.39,Medium
981,53,Sales,Manager,No,14852,High,3,4,3,17,22,0,0.091,Low
982,30,Sales,Sales Executive,No,7264,High,3,4,3,8,10,0,0.283,Low
983,38,Sales,Sales Executive,Yes,5666,Mid,4,3,3,5,6,0,0.77,High
984,35,Sales,Sales Executive,No,7823,High,4,3,4,10,12,0,0.013,Low
985,39,Sales,Sales Executive,No,7880,High,3,3,1,8,9,0,0.05,Low
986,40,Sales,Sales Executive,Yes,13194,High,2,2,2,1,22,1,0.387,Medium
987,47,Research & Development,Manufacturing Director,Yes,5067,Mid,3,4,3,19,20,0,0.128,Low
990,36,Sales,Sales Executive,No,5079,Mid,4,3,1,7,12,0,0.052,Low
991,31,Research & Development,Research Scientist,Yes,2321,Low,1,3,3,3,4,1,0.776,High
992,33,Sales,Manager,No,17444,High,3,3,4,10,10,0,0.105,Low
994,29,Research & Development,Research Scientist,Yes,2404,Low,1,3,4,0,3,1,0.858,High
995,33,Research & Development,Research Scientist,No,3452,Low,4,3,2,3,5,0,0.208,Low
996,45,Research & Development,Laboratory Technician,No,2270,Low,4,3,4,5,8,0,0.024,Low
997,50,Research & Development,Research Director,No,17399,High,4,2,4,5,32,0,0.002,Low
998,33,Research & Development,Healthcare Representative,Yes,5488,Mid,2,3,3,6,6,0,0.4,Medium
999,41,Research & Development,Research Director,No,19419,High,3,4,1,18,21,0,0.006,Low
1001,27,Research & Development,Laboratory Technician,No,2811,Low,2,3,3,2,4,0,0.894,High
1002,45,Research & Development,Laboratory Technician,Yes,3633,Mid,1,3,4,9,9,0,0.232,Low
1003,47,Sales,Sales Executive,Yes,4163,Mid,4,3,4,9,9,0,0.368,Medium
1004,30,Research & Development,Research Scientist,Yes,2132,Low,3,3,1,5,7,1,0.91,High
1005,50,Research & Development,Manufacturing Director,Yes,13973,High,3,3,4,12,22,0,0.063,Low
1006,38,Research & Development,Research Scientist,No,2684,Low,3,2,3,2,3,0,0.316,Medium
1007,46,Research & Development,Manufacturing Director,No,10845,High,3,3,4,8,13,0,0.03,Low
1009,24,Research & Development,Manufacturing Director,No,4377,Mid,3,3,4,4,5,0,0.06,Low
1010,35,Research & Development,Laboratory Technician,Yes,3743,Mid,2,1,3,4,5,1,0.768,High
1011,31,Research & Development,Manufacturing Director,No,4148,Mid,1,3,3,4,4,0,0.315,Medium
1012,18,Research & Development,Research Scientist,No,1051,Low,4,3,2,0,0,0,0.165,Low
1013,54,Research & Development,Manufacturing Director,No,10739,High,3,3,3,10,22,0,0.088,Low
1014,35,Research & Development,Healthcare Representative,Yes,10388,High,3,2,3,16,16,0,0.547,Medium
1015,30,Research & Development,Research Director,Yes,11416,High,1,2,2,8,9,0,0.013,Low
1016,20,Research & Development,Research Scientist,Yes,2600,Low,1,3,4,1,1,1,0.895,High
1017,30,Research & Development,Laboratory Technician,No,2422,Low,2,3,2,3,4,1,0.8,High
1018,26,Research & Development,Manufacturing Director,No,5472,Mid,4,3,4,8,8,0,0.036,Low
1019,22,Research & Development,Laboratory Technician,No,2451,Low,1,2,2,4,4,0,0.911,High
1022,48,Research & Development,Healthcare Representative,No,4240,Mid,3,3,1,2,19,0,0.199,Low
1024,48,Research & Development,Healthcare Representative,No,10999,High,3,3,3,15,27,0,0.055,Low
1025,41,Research & Development,Manufacturing Director,No,5003,Mid,3,3,4,2,8,0,0.076,Low
1026,39,Research & Development,Manufacturing Director,No,12742,High,4,3,4,21,21,0,0.116,Low
1027,27,Research & Development,Manufacturing Director,No,4227,Mid,4,3,1,3,4,0,0.136,Low
1028,35,Research & Development,Laboratory Technician,No,3917,Mid,4,2,2,3,3,0,0.259,Low
1029,42,Sales,Manager,No,18303,High,3,4,4,1,21,0,0.083,Low
1030,50,Research & Development,Laboratory Technician,No,2380,Low,4,3,1,1,8,0,0.349,Medium
1032,59,Research & Development,Manufacturing Director,Yes,13726,High,4,3,3,5,30,0,0.222,Low
1033,37,Research & Development,Healthcare Representative,No,4777,Mid,2,1,1,1,15,1,0.584,Medium
1034,55,Research & Development,Healthcare Representative,Yes,6385,Mid,2,3,3,8,17,0,0.307,Medium
1035,41,Research & Development,Research Director,No,19973,High,3,3,2,21,21,0,0.001,Low
1036,38,Sales,Sales Executive,Yes,6861,High,4,3,2,1,19,0,0.749,High
1037,26,Sales,Sales Executive,No,4969,Mid,1,3,2,2,7,1,0.711,High
1038,52,Sales,Manager,No,19845,High,4,3,1,32,33,1,0.037,Low
1039,44,Sales,Sales Executive,Yes,13320,High,4,3,4,12,23,0,0.13,Low
1040,50,Sales,Sales Executive,No,6347,Mid,3,3,4,18,19,0,0.006,Low
1042,36,Research & Development,Laboratory Technician,No,2743,Low,1,3,3,17,18,1,0.467,Medium
1043,39,Research & Development,Manufacturing Director,Yes,10880,High,1,3,4,21,21,0,0.895,High
1044,33,Sales,Sales Representative,No,2342,Low,4,2,2,2,3,0,0.344,Medium
1045,45,Sales,Manager,No,17650,High,4,4,4,9,26,0,0.013,Low
1046,32,Research & Development,Laboratory Technician,No,4025,Mid,3,3,4,8,10,0,0.53,Medium
1047,34,Sales,Sales Executive,No,9725,High,4,2,2,15,16,0,0.094,Low
1048,59,Sales,Manager,Yes,11904,High,4,1,2,6,14,0,0.512,Medium
1049,45,Human Resources,Human Resources,No,2177,Low,2,3,2,6,6,0,0.746,High
1050,53,Sales,Sales Executive,No,7525,High,2,3,3,15,30,0,0.273,Low
1052,36,Research & Development,Laboratory Technician,No,4834,Mid,3,2,1,1,9,1,0.597,Medium
1053,26,Research & Development,Research Scientist,Yes,2042,Low,1,3,1,3,6,1,0.938,High
1055,34,Sales,Sales Representative,Yes,2220,Low,3,3,3,1,1,0,0.616,High
1056,28,Sales,Sales Representative,No,1052,Low,2,3,4,1,1,0,0.357,Medium
1060,38,Research & Development,Research Scientist,No,2821,Low,3,3,3,2,8,0,0.22,Low
1061,50,Research & Development,Research Director,Yes,19237,High,3,2,2,8,29,0,0.184,Low
1062,37,Research & Development,Healthcare Representative,No,4107,Mid,2,2,4,4,8,0,0.186,Low
1066,40,Sales,Sales Executive,No,8396,High,1,2,3,7,8,0,0.552,Medium
1068,26,Research & Development,Research Scientist,No,2007,Low,3,3,1,5,5,0,0.137,Low
1069,46,Research & Development,Research Director,No,19627,High,4,3,4,2,23,0,0.004,Low
1070,54,Sales,Sales Executive,No,10686,High,3,3,3,9,13,0,0.422,Medium
1071,56,Research & Development,Research Scientist,No,2942,Low,3,3,1,5,18,0,0.085,Low
1073,36,Research & Development,Manufacturing Director,No,8858,High,4,2,4,14,15,0,0.405,Medium
1074,55,Research & Development,Manager,No,16756,High,1,4,3,9,31,0,0.044,Low
1076,43,Sales,Sales Executive,No,10798,High,4,3,3,1,18,0,0.205,Low
1077,20,Sales,Sales Representative,Yes,2323,Low,4,3,4,2,2,1,0.875,High
1079,21,Research & Development,Laboratory Technician,No,1416,Low,1,2,3,1,1,1,0.774,High
1080,46,Research & Development,Research Scientist,Yes,4615,Mid,1,3,4,16,19,0,0.314,Medium
1081,51,Research & Development,Research Scientist,Yes,2461,Low,3,4,1,10,18,1,0.371,Medium
1082,28,Research & Development,Healthcare Representative,No,8722,High,1,2,2,10,10,1,0.362,Medium
1083,26,Research & Development,Laboratory Technician,No,3955,Mid,1,3,1,5,6,0,0.763,High
1084,30,Research & Development,Manufacturing Director,No,9957,High,1,2,3,6,7,0,0.347,Medium
1085,41,Research & Development,Research Scientist,No,3376,Low,3,3,2,10,10,0,0.05,Low
1088,38,Research & Development,Healthcare Representative,No,8823,High,3,2,3,19,20,0,0.042,Low
1092,40,Research & Development,Healthcare Representative,No,10322,High,4,3,1,11,14,0,0.595,Medium
1094,27,Research & Development,Laboratory Technician,No,4621,Mid,3,3,1,3,3,0,0.178,Low
1096,55,Research & Development,Manufacturing Director,No,10976,High,2,3,4,3,23,0,0.033,Low
1097,28,Research & Development,Research Scientist,No,3660,Mid,3,4,3,8,10,0,0.087,Low
1098,44,Human Resources,Human Resources,No,10482,High,1,3,2,20,24,1,0.642,High
1099,33,Research & Development,Healthcare Representative,No,7119,High,4,3,4,3,9,0,0.029,Low
1100,35,Sales,Sales Executive,Yes,9582,High,1,3,4,8,9,1,0.753,High
1101,33,Research & Development,Research Scientist,No,4508,Mid,3,3,1,13,14,1,0.466,Medium
1102,28,Research & Development,Laboratory Technician,No,2207,Low,3,2,1,4,4,0,0.285,Low
1103,34,Research & Development,Healthcare Representative,No,7756,High,4,2,1,6,7,0,0.25,Low
1105,37,Sales,Sales Executive,Yes,6694,High,4,3,4,1,8,0,0.166,Low
1106,25,Research & Development,Laboratory Technician,Yes,3691,Mid,4,4,4,7,7,1,0.583,Medium
1107,26,Research & Development,Laboratory Technician,No,2377,Low,3,2,1,1,1,1,0.719,High
1108,33,Research & Development,Research Scientist,Yes,2313,Low,2,3,1,2,5,1,0.986,High
1109,42,Research & Development,Manager,No,17665,High,1,3,4,22,23,0,0.224,Low
1111,28,Research & Development,Laboratory Technician,No,2596,Low,2,3,1,1,1,1,0.732,High
1113,50,Sales,Sales Executive,Yes,4728,Mid,3,3,4,0,5,1,0.594,Medium
1114,33,Sales,Sales Executive,No,4302,Mid,2,3,4,3,4,0,0.151,Low
1115,34,Research & Development,Research Scientist,No,2979,Low,4,3,3,0,6,0,0.022,Low
1116,48,Research & Development,Manager,No,16885,High,4,2,1,5,27,0,0.011,Low
1117,45,Sales,Sales Executive,No,5593,Mid,3,3,2,15,15,0,0.018,Low
1118,52,Research & Development,Healthcare Representative,No,10445,High,2,3,2,8,18,0,0.316,Medium
1119,38,Sales,Sales Executive,Yes,8740,High,3,3,3,8,9,0,0.378,Medium
1120,29,Research & Development,Research Scientist,No,2514,Low,4,3,3,7,11,0,0.103,Low
1121,28,Research & Development,Manufacturing Director,No,7655,High,2,2,4,9,10,0,0.01,Low
1124,46,Sales,Manager,No,17465,High,3,3,1,12,23,0,0.091,Low
1125,38,Sales,Sales Executive,No,7351,High,2,3,4,1,10,0,0.682,High
1126,43,Research & Development,Manufacturing Director,No,10820,High,1,3,3,8,18,0,0.456,Medium
1127,39,Research & Development,Healthcare Representative,No,12169,High,4,3,1,18,21,1,0.136,Low
1128,40,Research & Development,Research Director,No,19626,High,3,4,3,20,21,0,0.093,Low
1131,21,Research & Development,Research Scientist,Yes,2070,Low,2,4,4,2,2,0,0.636,High
1132,39,Research & Development,Laboratory Technician,No,6782,High,2,2,3,5,9,0,0.558,Medium
1133,36,Research & Development,Manufacturing Director,No,7779,High,4,3,1,11,18,0,0.113,Low
1135,31,Sales,Sales Representative,No,2791,Low,4,3,3,2,3,0,0.494,Medium
1136,28,Research & Development,Research Scientist,No,3201,Low,2,1,1,5,6,0,0.452,Medium
1137,35,Sales,Sales Executive,No,4968,Mid,4,3,4,5,5,0,0.113,Low
1138,49,Sales,Sales Executive,No,13120,High,2,3,4,9,22,0,0.449,Medium
1140,34,Research & Development,Manufacturing Director,No,4033,Mid,3,2,4,3,5,0,0.263,Low
1143,29,Research & Development,Research Scientist,No,3291,Low,2,2,4,7,8,0,0.109,Low
1148,42,Research & Development,Laboratory Technician,No,4272,Mid,4,3,2,1,16,0,0.817,High
1150,29,Research & Development,Manufacturing Director,Yes,5056,Mid,4,2,2,10,10,0,0.624,High
1152,38,Human Resources,Human Resources,No,2844,Low,3,4,3,7,7,0,0.153,Low
1154,28,Research & Development,Research Scientist,Yes,2703,Low,3,3,3,3,3,0,0.518,Medium
1156,18,Research & Development,Laboratory Technician,No,1904,Low,3,3,3,0,0,1,0.345,Medium
1157,33,Sales,Sales Executive,Yes,8224,High,1,3,1,5,6,1,0.884,High
1158,41,Research & Development,Laboratory Technician,Yes,4766,Mid,4,3,2,1,6,0,0.804,High
1160,31,Research & Development,Laboratory Technician,No,2610,Low,3,2,3,2,2,1,0.495,Medium
1161,37,Research & Development,Healthcare Representative,No,5731,Mid,4,3,3,6,9,0,0.115,Low
1162,27,Research & Development,Research Scientist,No,2539,Low,3,3,4,4,4,0,0.25,Low
1163,34,Sales,Sales Executive,No,5714,Mid,3,2,2,6,6,0,0.154,Low
1164,35,Human Resources,Human Resources,No,4323,Mid,3,1,3,5,6,0,0.685,High
1165,29,Sales,Sales Executive,No,7336,High,1,1,4,11,11,1,0.225,Low
1166,40,Research & Development,Research Director,No,13499,High,3,2,2,18,20,0,0.104,Low
1167,42,Sales,Sales Executive,Yes,13758,High,1,2,3,21,22,1,0.969,High
1171,42,Sales,Sales Executive,No,5155,Mid,1,4,2,6,9,0,0.612,High
1172,35,Research & Development,Laboratory Technician,No,2258,Low,3,3,4,8,10,0,0.478,Medium
1173,24,Research & Development,Laboratory Technician,No,3597,Low,2,3,4,4,6,0,0.825,High
1175,28,Research & Development,Laboratory Technician,Yes,2515,Low,4,2,3,1,1,1,0.568,Medium
1177,26,Research & Development,Laboratory Technician,No,4420,Mid,4,3,1,8,8,0,0.084,Low
1179,30,Sales,Sales Executive,No,6578,High,3,3,3,10,10,0,0.445,Medium
1180,40,Research & Development,Research Scientist,Yes,4422,Mid,4,1,3,1,16,0,0.855,High
1182,35,Research & Development,Manufacturing Director,No,10274,High,2,4,3,7,15,0,0.039,Low
1184,34,Research & Development,Healthcare Representative,No,5343,Mid,1,3,4,13,14,0,0.13,Low
1185,35,Research & Development,Laboratory Technician,No,2376,Low,4,4,4,2,2,0,0.426,Medium
1188,43,Sales,Sales Executive,No,5346,Mid,3,2,1,4,7,1,0.9,High
1190,32,Sales,Sales Representative,No,2827,Low,1,3,3,1,1,0,0.109,Low
1191,56,Research & Development,Manager,No,19943,High,1,3,4,5,28,0,0.062,Low
1192,29,Research & Development,Laboratory Technician,No,3131,Low,4,3,2,10,10,0,0.06,Low
1193,19,Research & Development,Research Scientist,No,2552,Low,1,3,3,1,1,0,0.401,Medium
1195,45,Research & Development,Research Scientist,Yes,4477,Mid,3,2,1,3,7,0,0.512,Medium
1196,37,Research & Development,Manufacturing Director,No,6474,Mid,4,2,4,14,14,0,0.047,Low
1198,20,Research & Development,Laboratory Technician,No,3033,Low,3,2,1,2,2,0,0.878,High
1200,44,Research & Development,Research Scientist,Yes,2936,Low,3,3,3,6,6,1,0.344,Medium
1201,53,Research & Development,Manager,No,18606,High,3,3,4,7,26,0,0.002,Low
1202,29,Research & Development,Research Scientist,Yes,2168,Low,4,2,2,5,6,0,0.718,High
1203,22,Research & Development,Research Scientist,Yes,2853,Low,4,3,3,0,1,1,0.551,Medium
1204,46,Sales,Manager,No,17048,High,1,3,3,26,28,0,0.658,High
1206,44,Research & Development,Research Scientist,No,2290,Low,3,3,4,0,6,0,0.123,Low
1207,33,Human Resources,Human Resources,No,3600,Low,3,3,2,5,5,0,0.21,Low
1210,41,Research & Development,Research Scientist,No,2107,Low,1,1,1,1,5,1,0.617,High
1211,30,Sales,Sales Executive,No,4115,Mid,1,3,3,4,8,0,0.322,Medium
1212,40,Sales,Sales Executive,No,4327,Mid,2,3,2,0,5,0,0.482,Medium
1215,50,Research & Development,Manager,No,17856,High,1,3,4,2,32,0,0.005,Low
1216,28,Research & Development,Laboratory Technician,No,3196,Low,1,3,4,6,6,0,0.537,Medium
1217,46,Research & Development,Research Director,No,19081,High,2,3,4,4,25,0,0.026,Low
1218,35,Sales,Sales Executive,Yes,8966,High,1,3,3,7,15,0,0.258,Low
1219,24,Research & Development,Laboratory Technician,No,2210,Low,2,1,4,1,1,1,0.4,Medium
1220,33,Sales,Sales Executive,No,4539,Mid,3,2,2,10,10,0,0.468,Medium
1221,36,Research & Development,Laboratory Technician,No,2741,Low,3,3,3,7,7,0,0.089,Low
1224,30,Research & Development,Laboratory Technician,No,3491,Low,3,2,3,10,10,0,0.126,Low
1225,44,Research & Development,Research Scientist,No,4541,Mid,4,3,4,20,20,0,0.126,Low
1226,20,Sales,Sales Representative,No,2678,Low,4,3,3,2,2,0,0.652,High
1228,46,Research & Development,Manufacturing Director,No,7379,High,4,2,4,6,12,0,0.022,Low
1231,42,Human Resources,Human Resources,No,6272,Mid,1,4,4,4,10,0,0.073,Low
1233,60,Sales,Sales Executive,Yes,5220,Mid,4,3,2,11,12,0,0.049,Low
1234,32,Research & Development,Laboratory Technician,No,2743,Low,2,3,3,2,2,0,0.595,Medium
1235,32,Research & Development,Research Scientist,Yes,4998,Mid,3,3,4,8,10,0,0.241,Low
1237,36,Research & Development,Manufacturing Director,Yes,10252,High,1,3,3,7,17,0,0.755,High
1238,33,Research & Development,Research Scientist,No,2781,Low,4,3,1,14,15,0,0.057,Low
1239,40,Sales,Sales Executive,No,6852,High,2,4,2,5,7,0,0.7,High
1240,25,Sales,Sales Executive,No,4950,Mid,4,3,3,4,5,0,0.255,Low
1241,30,Research & Development,Research Scientist,Yes,3579,Low,2,3,4,11,12,0,0.286,Low
1242,42,Research & Development,Research Director,Yes,13191,High,1,3,1,1,20,0,0.196,Low
1243,35,Sales,Sales Executive,Yes,10377,High,4,2,3,13,16,0,0.111,Low
1244,27,Research & Development,Research Scientist,Yes,2235,Low,1,2,1,9,9,0,0.722,High
1245,54,Research & Development,Manufacturing Director,No,10502,High,3,1,4,5,33,0,0.017,Low
1246,44,Research & Development,Research Scientist,No,2011,Low,4,3,1,10,10,0,0.039,Low
1248,19,Research & Development,Research Scientist,Yes,1859,Low,2,4,1,1,1,1,0.78,High
1249,29,Research & Development,Research Scientist,No,3760,Mid,4,3,1,3,3,0,0.031,Low
1250,54,Research & Development,Research Director,No,17779,High,4,3,4,10,36,0,0.001,Low
1251,31,Research & Development,Healthcare Representative,Yes,6833,High,1,2,3,6,6,0,0.434,Medium
1252,31,Research & Development,Healthcare Representative,No,6812,High,1,3,3,10,10,0,0.188,Low
1254,59,Sales,Sales Executive,No,5171,Mid,4,3,3,6,13,0,0.17,Low
1255,43,Research & Development,Research Director,No,19740,High,4,3,3,8,25,0,0.003,Low
1256,49,Research & Development,Manager,No,18711,High,3,4,1,1,23,0,0.027,Low
1257,36,Research & Development,Research Scientist,No,3692,Mid,2,2,3,11,12,0,0.222,Low
1258,48,Research & Development,Laboratory Technician,No,2559,Low,2,2,4,1,7,0,0.731,High
1259,27,Research & Development,Research Scientist,No,2517,Low,3,3,1,5,5,0,0.073,Low
1260,29,Research & Development,Healthcare Representative,Yes,6623,High,4,3,3,6,6,0,0.276,Low
1263,48,Research & Development,Research Director,No,18265,High,4,4,4,1,25,0,0.013,Low
1264,29,Research & Development,Research Director,No,16124,High,4,2,4,7,9,0,0.005,Low
1265,34,Research & Development,Research Scientist,No,2585,Low,3,2,3,1,2,0,0.177,Low
1267,44,Sales,Manager,No,18213,High,2,3,2,22,26,0,0.074,Low
1268,33,Sales,Sales Executive,Yes,8380,High,3,3,4,9,10,0,0.043,Low
1269,19,Research & Development,Research Scientist,Yes,2994,Low,4,3,2,1,1,0,0.793,High
1270,23,Research & Development,Research Scientist,No,1223,Low,3,3,4,1,1,0,0.091,Low
1273,25,Sales,Sales Representative,Yes,1118,Low,4,3,3,1,1,1,0.985,High
1275,26,Research & Development,Research Scientist,Yes,2875,Low,4,2,3,8,8,0,0.71,High
1277,45,Sales,Manager,Yes,18824,High,2,3,1,24,26,1,0.55,Medium
1278,55,Research & Development,Healthcare Representative,Yes,13577,High,2,3,4,33,34,0,0.673,High
1279,21,Research & Development,Laboratory Technician,No,2625,Low,3,1,1,2,2,1,0.969,High
1280,46,Sales,Manager,No,18789,High,2,3,4,11,26,0,0.043,Low
1281,34,Sales,Sales Executive,Yes,4538,Mid,1,3,3,3,4,0,0.748,High
1282,51,Sales,Manager,Yes,19847,High,2,2,4,29,31,0,0.562,Medium
1283,59,Research & Development,Manufacturing Director,No,10512,High,4,2,4,9,25,0,0.04,Low
1285,34,Research & Development,Laboratory Technician,No,4444,Mid,2,4,3,11,15,0,0.243,Low
1286,28,Research & Development,Laboratory Technician,Yes,2154,Low,3,2,4,4,5,0,0.871,High
1288,44,Research & Development,Manager,No,19190,High,1,2,3,25,26,0,0.049,Low
1289,34,Human Resources,Human Resources,No,4490,Mid,2,4,3,10,14,0,0.119,Low
1291,35,Research & Development,Research Scientist,Yes,3506,Low,3,3,3,3,4,0,0.374,Medium
1292,42,Research & Development,Research Scientist,Yes,2372,Low,2,3,2,1,18,0,0.525,Medium
1293,43,Sales,Sales Executive,No,10231,High,4,4,4,21,23,0,0.321,Medium
1294,36,Research & Development,Manufacturing Director,Yes,5410,Mid,2,3,3,16,18,0,0.37,Medium
1295,44,Research & Development,Healthcare Representative,No,7978,High,4,3,1,10,10,1,0.025,Low
1296,28,Research & Development,Laboratory Technician,Yes,3867,Mid,4,3,4,2,2,0,0.863,High
1297,51,Research & Development,Laboratory Technician,No,2838,Low,3,2,2,7,8,0,0.772,High
